Host,Protocol,Local Address,Port,State
localhost,tcp,10.217.86.25,14317,LISTEN
localhost,tcp,10.217.86.25,20022,LISTEN
localhost,tcp,10.217.86.25,22852,LISTEN
localhost,tcp,10.217.86.25,65002,LISTEN
localhost,tcp,10.217.86.25,65202,LISTEN
localhost,tcp,10.217.86.26,10250,LISTEN
localhost,tcp,10.217.86.26,10256,LISTEN
localhost,tcp,10.217.86.26,14311,LISTEN
localhost,tcp,10.217.86.26,14314,LISTEN
localhost,tcp,10.217.86.26,14316,LISTEN
localhost,tcp,10.217.86.26,14317,LISTEN
localhost,tcp,10.217.86.26,20022,LISTEN
localhost,tcp,10.217.86.26,22852,LISTEN
localhost,tcp,10.217.86.26,65002,LISTEN
localhost,tcp,10.217.86.26,65202,LISTEN
localhost,tcp,10.217.86.27,10250,LISTEN
localhost,tcp,10.217.86.27,10256,LISTEN
localhost,tcp,10.217.86.27,14311,LISTEN
localhost,tcp,10.217.86.27,14314,LISTEN
localhost,tcp,10.217.86.27,14316,LISTEN
localhost,tcp,10.217.86.27,14317,LISTEN
localhost,tcp,10.217.86.27,20022,LISTEN
localhost,tcp,10.217.86.27,22852,LISTEN
localhost,tcp,10.217.86.27,65002,LISTEN
localhost,tcp,10.217.86.27,65202,LISTEN
localhost,tcp,10.217.86.28,10250,LISTEN
localhost,tcp,10.217.86.28,10256,LISTEN
localhost,tcp,10.217.86.28,14311,LISTEN
localhost,tcp,10.217.86.28,14314,LISTEN
localhost,tcp,10.217.86.28,14316,LISTEN
localhost,tcp,10.217.86.28,14317,LISTEN
localhost,tcp,10.217.86.28,20022,LISTEN
localhost,tcp,10.217.86.28,22852,LISTEN
localhost,tcp,10.217.86.28,65002,LISTEN
localhost,tcp,10.217.86.28,65202,LISTEN
localhost,tcp,10.217.86.29,10250,LISTEN
localhost,tcp,10.217.86.29,10256,LISTEN
localhost,tcp,10.217.86.29,14311,LISTEN
localhost,tcp,10.217.86.29,14314,LISTEN
localhost,tcp,10.217.86.29,14316,LISTEN
localhost,tcp,10.217.86.29,14317,LISTEN
localhost,tcp,10.217.86.29,20022,LISTEN
localhost,tcp,10.217.86.29,22852,LISTEN
localhost,tcp,10.217.86.29,65002,LISTEN
localhost,tcp,10.217.86.29,65202,LISTEN
localhost,tcp,10.217.86.30,10250,LISTEN
localhost,tcp,10.217.86.30,10256,LISTEN
localhost,tcp,10.217.86.30,14311,LISTEN
localhost,tcp,10.217.86.30,14314,LISTEN
localhost,tcp,10.217.86.30,14316,LISTEN
localhost,tcp,10.217.86.30,14317,LISTEN
localhost,tcp,10.217.86.30,20022,LISTEN
localhost,tcp,10.217.86.30,65002,LISTEN
localhost,tcp,10.217.86.30,65202,LISTEN
localhost,tcp,10.217.86.30,8445,LISTEN
localhost,tcp,10.217.86.30,8446,LISTEN
localhost,tcp,10.217.86.30,8447,LISTEN
localhost,tcp,10.217.86.30,8557,LISTEN
localhost,tcp,10.217.86.31,10250,LISTEN
localhost,tcp,10.217.86.31,10256,LISTEN
localhost,tcp,10.217.86.31,14311,LISTEN
localhost,tcp,10.217.86.31,14314,LISTEN
localhost,tcp,10.217.86.31,14316,LISTEN
localhost,tcp,10.217.86.31,14317,LISTEN
localhost,tcp,10.217.86.31,20022,LISTEN
localhost,tcp,10.217.86.31,65002,LISTEN
localhost,tcp,10.217.86.31,65202,LISTEN
localhost,tcp,10.217.86.31,8445,LISTEN
localhost,tcp,10.217.86.31,8446,LISTEN
localhost,tcp,10.217.86.31,8447,LISTEN
localhost,tcp,10.217.86.31,8557,LISTEN
localhost,tcp,10.217.86.44,10250,LISTEN
localhost,tcp,10.217.86.44,10256,LISTEN
localhost,tcp,10.217.86.44,14311,LISTEN
localhost,tcp,10.217.86.44,14314,LISTEN
localhost,tcp,10.217.86.44,14316,LISTEN
localhost,tcp,10.217.86.44,14317,LISTEN
localhost,tcp,10.217.86.44,20022,LISTEN
localhost,tcp,10.217.86.44,65002,LISTEN
localhost,tcp,10.217.86.44,65202,LISTEN
localhost,tcp,10.217.86.45,10250,LISTEN
localhost,tcp,10.217.86.45,10256,LISTEN
localhost,tcp,10.217.86.45,14311,LISTEN
localhost,tcp,10.217.86.45,14314,LISTEN
localhost,tcp,10.217.86.45,14316,LISTEN
localhost,tcp,10.217.86.45,14317,LISTEN
localhost,tcp,10.217.86.45,20022,LISTEN
localhost,tcp,10.217.86.45,65002,LISTEN
localhost,tcp,10.217.86.45,65202,LISTEN
localhost,tcp,10.217.86.46,10250,LISTEN
localhost,tcp,10.217.86.46,10256,LISTEN
localhost,tcp,10.217.86.46,1127,LISTEN
localhost,tcp,10.217.86.46,14311,LISTEN
localhost,tcp,10.217.86.46,14314,LISTEN
localhost,tcp,10.217.86.46,14316,LISTEN
localhost,tcp,10.217.86.46,14317,LISTEN
localhost,tcp,10.217.86.46,18443,LISTEN
localhost,tcp,10.217.86.46,20022,LISTEN
localhost,tcp,10.217.86.46,65002,LISTEN
localhost,tcp,10.217.86.46,65202,LISTEN
localhost,tcp,10.217.86.49,10250,LISTEN
localhost,tcp,10.217.86.49,10256,LISTEN
localhost,tcp,10.217.86.49,14599,LISTEN
localhost,tcp,10.217.86.49,20022,LISTEN
localhost,tcp,10.217.86.49,22,LISTEN
localhost,tcp,10.217.86.49,2380,LISTEN
localhost,tcp,10.217.86.49,4001,LISTEN
localhost,tcp,10.217.86.49,5443,LISTEN
localhost,tcp,10.217.86.49,65002,LISTEN
localhost,tcp,10.217.86.49,8082,LISTEN
localhost,tcp,10.217.86.50,10250,LISTEN
localhost,tcp,10.217.86.50,10256,LISTEN
localhost,tcp,10.217.86.50,14599,LISTEN
localhost,tcp,10.217.86.50,20022,LISTEN
localhost,tcp,10.217.86.50,22,LISTEN
